# ==== reproduce_addmul.sh run ====
# timestamp:  2026-07-29T11:39:01+08:00
# cpu:        AMD EPYC 9B45
# memory:     123Gi
# cores:      8 physical, 16 logical
# os:         Ubuntu 24.04.3 LTS
# kernel:     Linux 6.17.0-1021-gcp #24~24.04.1-Ubuntu SMP Tue Jul  7 14:58:58 UTC 2026
# rustc:      rustc 1.98.0-nightly (c397dae80 2026-07-02)
# git:        unknown (no git metadata)
# args:       zc,own pc,own df,own hp_df,own mem
# ---- SNARK configuration ----
# backend:   MamaBear  P = 2^49 - 2^34 + 1 (49-bit Solinas), R = 2^52 Montgomery, AVX-512IFMA
# extension: Ext3  F_p[X]/(X^3 - X - 1)  log2|F_ext| = 147.0
# pcs:       DeepFold  rate 1/8 (CODE_RATE_LOG=3)  split=3
# fri:       PROV_QUERY128  queries=88  grinding=16 bits  (m=3, 1.2776 bits/query)
# fri-query: S_query = zeta_q + Q = 16 + 88*1.2776 = 128.4 bits  <- what the name PROV_QUERY128 refers to
# fri-commit: C = log2|F_ext| - log2(n) - log2(log2 n) - log2(c_PG),  c_PG = 7928.7 (m=3, rate 1/8),  n = 2^(nv+3);  nv=19: C=107.6  nv=20: C=106.5  (falls ~1 bit per +1 nv)
# fri-commit-thm: bad-folding-challenge count is O(n) per Ben-Sasson-Carmon-Haboeck-Kopparty-Saraf, STOC 2026, Thm 1.5 (proximity loss 0, explicit constant); supersedes the O(n^2) count of BCIKS FOCS 2020 + Haboeck 2022, which gave C=83.0 at nv=19 for MamaBear Ext3.  Caveat: STOC states the line case; the affine-space (batched) constant is to be confirmed against the full version.
# fri-prov:  S_prov = min(C, S_query) = nv=19: 107.6 (commit-bound)  nv=20: 106.5 (commit-bound)  (adding queries cannot lift a commit-bound total)
# piop-sec:  ~124-bit conjectured: the PIOP soundness error is Schwartz-Zippel over Ext3 (log2|F_ext| = 147), capped by the 2^-124 transcript-challenge budget
# baselines: Goldilocks PROV_QUERY128 queries=101  BabyBear PROV_QUERY128 queries=101  (same rate 1/8, no grinding)
# ---- harness ----
# warmup:     1
# samples:    5 (median of the sorted samples)
# rayon:      RAYON_NUM_THREADS=8
# ============================
# ---- provenance ----
# The MamaBear row blocks below were measured by the run described in this
# header. The Goldilocks and BabyBear blocks are carried over unchanged from
# the 2026-07-27 capture on the same machine: this codebase has no
# multithreaded Goldilocks/BabyBear prover, so those rows are single-threaded
# and the parallel worker count cannot move them. They were left in place
# rather than re-measured so the re-run could target only what changed.
# A full ./reproduce_addmul.sh all regenerates every block in one capture.
# ============================

BabyBear prov128 Commit NV=18                                   642.390 ms
BabyBear prov128 Open NV=18                                     520.643 ms
BabyBear prov128 Commit NV=19                                  1374.825 ms
BabyBear prov128 Open NV=19                                    1100.630 ms
BabyBear prov128 Commit NV=20                                  2833.737 ms
BabyBear prov128 Open NV=20                                    2466.400 ms
BabyBear prov128 Commit NV=21                                  5840.298 ms
BabyBear prov128 Open NV=21                                    4964.909 ms
BabyBear prov128 Commit NV=22                                 11940.252 ms
BabyBear prov128 Open NV=22                                   10206.448 ms
BabyBear prov128 Commit NV=23                                 24380.032 ms
BabyBear prov128 Open NV=23                                   20464.556 ms
BabyBear prov128 Commit NV=24                                 49797.993 ms
BabyBear prov128 Open NV=24                                   40883.571 ms

Goldilocks prov128 Commit NV=18                                 649.767 ms
Goldilocks prov128 Open NV=18                                   593.468 ms
Goldilocks prov128 Commit NV=19                                1463.664 ms
Goldilocks prov128 Open NV=19                                  1268.228 ms
Goldilocks prov128 Commit NV=20                                2926.918 ms
Goldilocks prov128 Open NV=20                                  2700.118 ms
Goldilocks prov128 Commit NV=21                                6079.346 ms
Goldilocks prov128 Open NV=21                                  5474.305 ms
Goldilocks prov128 Commit NV=22                               12232.783 ms
Goldilocks prov128 Open NV=22                                 11196.163 ms
Goldilocks prov128 Commit NV=23                               24820.543 ms
Goldilocks prov128 Open NV=23                                 22492.949 ms
Goldilocks prov128 Commit NV=24                               50322.077 ms
Goldilocks prov128 Open NV=24                                 45213.070 ms

Ext3 prov128 Commit NV=18 split=3                                58.811 ms
Ext3 prov128 Open NV=18 split=3                                  38.633 ms
Ext3 prov128 Commit NV=19 split=3                               129.922 ms
Ext3 prov128 Open NV=19 split=3                                  77.428 ms
Ext3 prov128 Commit NV=20 split=3                               482.237 ms
Ext3 prov128 Open NV=20 split=3                                 163.631 ms
Ext3 prov128 Commit NV=21 split=3                               752.148 ms
Ext3 prov128 Open NV=21 split=3                                 330.286 ms
Ext3 prov128 Commit NV=22 split=3                              1687.196 ms
Ext3 prov128 Open NV=22 split=3                                 773.460 ms
Ext3 prov128 Commit NV=23 split=3                              4099.406 ms
Ext3 prov128 Open NV=23 split=3                                1606.580 ms
Ext3 prov128 Commit NV=24 split=3                              9714.065 ms
Ext3 prov128 Open NV=24 split=3                                3321.883 ms
Ext3 prov128 Commit NV=25 split=3                             21922.709 ms
Ext3 prov128 Open NV=25 split=3                                6926.573 ms
Ext3 prov128 Commit NV=26 split=3                             53106.569 ms
Ext3 prov128 Open NV=26 split=3                               14331.176 ms
Ext3 prov128 Commit NV=27 split=3                            109834.229 ms
Ext3 prov128 Open NV=27 split=3                               28539.411 ms
Ext3 prov128 Commit Par NV=18 split=3                            11.107 ms
Ext3 prov128 Open Par NV=18 split=3                              25.806 ms
Ext3 prov128 Commit Par NV=19 split=3                            28.270 ms
