# ==== reproduce_addmul.sh run ====
# timestamp:  2026-07-29T11:39:01+08:00
# cpu:        AMD EPYC 9B45
# memory:     123Gi
# cores:      8 physical, 16 logical
# os:         Ubuntu 24.04.3 LTS
# kernel:     Linux 6.17.0-1021-gcp #24~24.04.1-Ubuntu SMP Tue Jul  7 14:58:58 UTC 2026
# rustc:      rustc 1.98.0-nightly (c397dae80 2026-07-02)
# git:        unknown (no git metadata)
# args:       zc,own pc,own df,own hp_df,own mem
# ---- SNARK configuration ----
# backend:   MamaBear  P = 2^49 - 2^34 + 1 (49-bit Solinas), R = 2^52 Montgomery, AVX-512IFMA
# extension: Ext3  F_p[X]/(X^3 - X - 1)  log2|F_ext| = 147.0
# pcs:       DeepFold  rate 1/8 (CODE_RATE_LOG=3)  split=3
# fri:       PROV_QUERY128  queries=88  grinding=16 bits  (m=3, 1.2776 bits/query)
# fri-query: S_query = zeta_q + Q = 16 + 88*1.2776 = 128.4 bits  <- what the name PROV_QUERY128 refers to
# fri-commit: C = log2|F_ext| - log2(n) - log2(log2 n) - log2(c_PG),  c_PG = 7928.7 (m=3, rate 1/8),  n = 2^(nv+3);  nv=19: C=107.6  nv=20: C=106.5  (falls ~1 bit per +1 nv)
# fri-commit-thm: bad-folding-challenge count is O(n) per Ben-Sasson-Carmon-Haboeck-Kopparty-Saraf, STOC 2026, Thm 1.5 (proximity loss 0, explicit constant); supersedes the O(n^2) count of BCIKS FOCS 2020 + Haboeck 2022, which gave C=83.0 at nv=19 for MamaBear Ext3.  Caveat: STOC states the line case; the affine-space (batched) constant is to be confirmed against the full version.
# fri-prov:  S_prov = min(C, S_query) = nv=19: 107.6 (commit-bound)  nv=20: 106.5 (commit-bound)  (adding queries cannot lift a commit-bound total)
# piop-sec:  ~124-bit conjectured: the PIOP soundness error is Schwartz-Zippel over Ext3 (log2|F_ext| = 147), capped by the 2^-124 transcript-challenge budget
# baselines: Goldilocks PROV_QUERY128 queries=101  BabyBear PROV_QUERY128 queries=101  (same rate 1/8, no grinding)
# ---- harness ----
# warmup:     1
# samples:    5 (median of the sorted samples)
# rayon:      RAYON_NUM_THREADS=8
# ============================
HP DF Goldilocks prov128 nv=18 witness_setup                    14.00 MiB
HP DF Goldilocks prov128 nv=18 pp_setup                          0.52 GiB
HP DF Goldilocks prov128 nv=18 prove                             0.56 GiB
HP DF Goldilocks prov128 nv=18 verify                            0.91 MiB
HP DF Goldilocks SHA256 prov128 nv=19 witness_setup             64.50 MiB
HP DF Goldilocks SHA256 prov128 nv=19 pp_setup                   1.05 GiB
HP DF Goldilocks SHA256 prov128 nv=19 prove                      1.11 GiB
HP DF Goldilocks SHA256 prov128 nv=19 verify                     0.10 MiB
HP DF Goldilocks SHA256 prov128 nv=20 witness_setup            129.00 MiB
HP DF Goldilocks SHA256 prov128 nv=20 pp_setup                   2.09 GiB
HP DF Goldilocks SHA256 prov128 nv=20 prove                      2.23 GiB
HP DF Goldilocks SHA256 prov128 nv=20 verify                     0.09 MiB
HP DF Goldilocks SHA256 prov128 nv=21 witness_setup            258.00 MiB
HP DF Goldilocks SHA256 prov128 nv=21 pp_setup                   4.19 GiB
HP DF Goldilocks SHA256 prov128 nv=21 prove                      4.45 GiB
HP DF Goldilocks SHA256 prov128 nv=21 verify                     0.10 MiB
HP DF Goldilocks SHA256 prov128 nv=22 witness_setup            516.00 MiB
HP DF Goldilocks SHA256 prov128 nv=22 pp_setup                   8.38 GiB
HP DF Goldilocks SHA256 prov128 nv=22 prove                      8.91 GiB
HP DF Goldilocks SHA256 prov128 nv=22 verify                     0.10 MiB
HP DF Goldilocks SHA256 prov128 nv=23 witness_setup           1032.00 MiB
HP DF Goldilocks SHA256 prov128 nv=23 pp_setup                  16.75 GiB
HP DF Goldilocks SHA256 prov128 nv=23 prove                     17.81 GiB
HP DF Goldilocks SHA256 prov128 nv=23 verify                     0.10 MiB
HP DF Goldilocks SHA256 prov128 nv=24 witness_setup           2064.00 MiB
HP DF Goldilocks SHA256 prov128 nv=24 pp_setup                  33.50 GiB
HP DF Goldilocks SHA256 prov128 nv=24 prove                     35.63 GiB
HP DF Goldilocks SHA256 prov128 nv=24 verify                     0.10 MiB
HP DF Babybear prov128 nv=18 witness_setup                       7.00 MiB
